production_id,product_id,production_date,quantity_produced,production_cost
PROD1,P1,2023-01-01,50.00,300.00
PROD2,P2,2023-02-01,52.00,305.50
PROD3,P3,2023-03-01,54.00,311.00
PROD4,P4,2023-04-01,56.00,316.50
PROD5,P5,2023-05-01,58.00,322.00
PROD6,P6,2023-06-01,60.00,327.50
PROD7,P7,2023-07-01,62.00,333.00
PROD8,P8,2023-08-01,64.00,338.50
PROD9,P9,2023-09-01,66.00,344.00
PROD10,P10,2023-010-01,68.00,349.50
PROD11,P11,2023-011-01,70.00,355.00
PROD12,P12,2023-012-01,72.00,360.50
PROD13,P13,2023-01-01,74.00,366.00
PROD14,P14,2023-02-01,76.00,371.50
PROD15,P15,2023-03-01,78.00,377.00
PROD16,P16,2023-04-01,80.00,382.50
PROD17,P17,2023-05-01,82.00,388.00
PROD18,P18,2023-06-01,84.00,393.50
PROD19,P19,2023-07-01,86.00,399.00
PROD20,P20,2023-08-01,88.00,404.50
